Province,Cases,Day,obsvalue
Hubei,Confirmed,22-Jan,444
Hubei,Deaths,22-Jan,17
Hubei,Recovered,22-Jan,28
Hubei,Confirmed,23-Jan,0
Hubei,Deaths,23-Jan,0
Hubei,Recovered,23-Jan,0
Hubei,Confirmed,24-Jan,105
Hubei,Deaths,24-Jan,7
Hubei,Recovered,24-Jan,3
Hubei,Confirmed,25-Jan,212
Hubei,Deaths,25-Jan,16
Hubei,Recovered,25-Jan,1
Hubei,Confirmed,26-Jan,297
Hubei,Deaths,26-Jan,12
Hubei,Recovered,26-Jan,10
Hubei,Confirmed,27-Jan,365
Hubei,Deaths,27-Jan,24
Hubei,Recovered,27-Jan,3
Hubei,Confirmed,28-Jan,2131
Hubei,Deaths,28-Jan,49
Hubei,Recovered,28-Jan,35
Hubei,Confirmed,29-Jan,0
Hubei,Deaths,29-Jan,0
Hubei,Recovered,29-Jan,8
Hubei,Confirmed,30-Jan,539
Hubei,Deaths,30-Jan,37
Hubei,Recovered,30-Jan,2
Hubei,Confirmed,31-Jan,1713
Hubei,Deaths,31-Jan,42
Hubei,Recovered,31-Jan,51
Hubei,Confirmed,1-Feb,1347
Hubei,Deaths,1-Feb,9
Hubei,Recovered,1-Feb,27
Hubei,Confirmed,2-Feb,4024
Hubei,Deaths,2-Feb,101
Hubei,Recovered,2-Feb,127
Hubei,Confirmed,3-Feb,2375
Hubei,Deaths,3-Feb,64
Hubei,Recovered,3-Feb,91
Hubei,Confirmed,4-Feb,3126
Hubei,Deaths,4-Feb,65
Hubei,Recovered,4-Feb,136
Hubei,Confirmed,5-Feb,2987
Hubei,Deaths,5-Feb,70
Hubei,Recovered,5-Feb,111
Hubei,Confirmed,6-Feb,2447
Hubei,Deaths,6-Feb,69
Hubei,Recovered,6-Feb,184
Hubei,Confirmed,7-Feb,2841
Hubei,Deaths,7-Feb,81
Hubei,Recovered,7-Feb,298
Hubei,Confirmed,8-Feb,2147
Hubei,Deaths,8-Feb,81
Hubei,Recovered,8-Feb,324
Hubei,Confirmed,9-Feb,2531
Hubei,Deaths,9-Feb,91
Hubei,Recovered,9-Feb,356
Hubei,Confirmed,10-Feb,2097
Hubei,Deaths,10-Feb,103
Hubei,Recovered,10-Feb,427
Hubei,Confirmed,11-Feb,1638
Hubei,Deaths,11-Feb,94
Hubei,Recovered,11-Feb,417
Hubei,Confirmed,12-Feb,0
Hubei,Deaths,12-Feb,0
Hubei,Recovered,12-Feb,47
Hubei,Confirmed,13-Feb,14840
Hubei,Deaths,13-Feb,242
Hubei,Recovered,13-Feb,773
Hubei,Confirmed,14-Feb,6200
Hubei,Deaths,14-Feb,147
Hubei,Recovered,14-Feb,1315
Hubei,Confirmed,15-Feb,2023
Hubei,Deaths,15-Feb,139
Hubei,Recovered,15-Feb,849
Hubei,Confirmed,16-Feb,1933
Hubei,Deaths,16-Feb,100
Hubei,Recovered,16-Feb,1016
Hubei,Confirmed,17-Feb,1807
Hubei,Deaths,17-Feb,93
Hubei,Recovered,17-Feb,1223
Hubei,Confirmed,18-Feb,1693
Hubei,Deaths,18-Feb,132
Hubei,Recovered,18-Feb,1266
Hubei,Confirmed,19-Feb,349
Hubei,Deaths,19-Feb,108
Hubei,Recovered,19-Feb,1209
Hubei,Confirmed,20-Feb,411
Hubei,Deaths,20-Feb,115
Hubei,Recovered,20-Feb,1451
Hubei,Confirmed,21-Feb,220
Hubei,Deaths,21-Feb,0
Hubei,Recovered,21-Feb,93
Hubei,Confirmed,22-Feb,1422
Hubei,Deaths,22-Feb,202
Hubei,Recovered,22-Feb,3418
Hubei,Confirmed,23-Feb,0
Hubei,Deaths,23-Feb,0
Hubei,Recovered,23-Feb,44
Hubei,Confirmed,24-Feb,203
Hubei,Deaths,24-Feb,149
Hubei,Recovered,24-Feb,1405
Hubei,Confirmed,25-Feb,499
Hubei,Deaths,25-Feb,68
Hubei,Recovered,25-Feb,2223
Hubei,Confirmed,26-Feb,401
Hubei,Deaths,26-Feb,52
Hubei,Recovered,26-Feb,1998
Hubei,Confirmed,27-Feb,409
Hubei,Deaths,27-Feb,26
Hubei,Recovered,27-Feb,2414
Hubei,Confirmed,28-Feb,318
Hubei,Deaths,28-Feb,41
Hubei,Recovered,28-Feb,3020
Hubei,Confirmed,29-Feb,423
Hubei,Deaths,29-Feb,45
Hubei,Recovered,29-Feb,2590
Hubei,Confirmed,1-Mar,570
Hubei,Deaths,1-Mar,34
Hubei,Recovered,1-Mar,2543
Hubei,Confirmed,2-Mar,196
Hubei,Deaths,2-Mar,42
Hubei,Recovered,2-Mar,2398
Hubei,Confirmed,3-Mar,114
Hubei,Deaths,3-Mar,32
Hubei,Recovered,3-Mar,2274
Hubei,Confirmed,4-Mar,115
Hubei,Deaths,4-Mar,36
Hubei,Recovered,4-Mar,2349
Hubei,Confirmed,5-Mar,134
Hubei,Deaths,5-Mar,31
Hubei,Recovered,5-Mar,2035
Hubei,Confirmed,6-Mar,126
Hubei,Deaths,6-Mar,29
Hubei,Recovered,6-Mar,1441
Hubei,Confirmed,7-Mar,74
Hubei,Deaths,7-Mar,28
Hubei,Recovered,7-Mar,1467
Hubei,Confirmed,8-Mar,41
Hubei,Deaths,8-Mar,27
Hubei,Recovered,8-Mar,1735
Hubei,Confirmed,9-Mar,36
Hubei,Deaths,9-Mar,22
Hubei,Recovered,9-Mar,1253
Hubei,Confirmed,10-Mar,17
Hubei,Deaths,10-Mar,16
Hubei,Recovered,10-Mar,1255
Hubei,Confirmed,11-Mar,13
Hubei,Deaths,11-Mar,22
Hubei,Recovered,11-Mar,1391
Hubei,Confirmed,12-Mar,8
Hubei,Deaths,12-Mar,10
Hubei,Recovered,12-Mar,1184
Hubei,Confirmed,13-Mar,5
Hubei,Deaths,13-Mar,6
Hubei,Recovered,13-Mar,1235
Hubei,Confirmed,14-Mar,4
Hubei,Deaths,14-Mar,13
Hubei,Recovered,14-Mar,1407
Hubei,Confirmed,15-Mar,4
Hubei,Deaths,15-Mar,10
Hubei,Recovered,15-Mar,1328
Hubei,Confirmed,16-Mar,4
Hubei,Deaths,16-Mar,14
Hubei,Recovered,16-Mar,854
Hubei,Confirmed,17-Mar,1
Hubei,Deaths,17-Mar,12
Hubei,Recovered,17-Mar,861
Hubei,Confirmed,18-Mar,1
Hubei,Deaths,18-Mar,1
Hubei,Recovered,18-Mar,924
Hubei,Confirmed,19-Mar,0
Hubei,Deaths,19-Mar,8
Hubei,Recovered,19-Mar,755
Hubei,Confirmed,20-Mar,0
Hubei,Deaths,20-Mar,3
Hubei,Recovered,20-Mar,700
Hubei,Confirmed,21-Mar,0
Hubei,Deaths,21-Mar,6
Hubei,Recovered,21-Mar,564
